2020-01-29 13:29:53,941 [INFO :__main__] My PID is 25153
2020-01-29 13:29:53,941 [INFO :__main__] Namespace(att_vec_size=256, batch_size=64, beam_size=1, brnn_merge='concat', cuda_seed=12345, curriculum=0, dec_dropout=0.0, dec_init='simple', dec_rnn_size=256, dev_input_src='/idiap/temp/jbello/data/validation/neusum/val.src.txt', dev_ref='/idiap/temp/jbello/data/validation/neusum/val.tgt.txt', doc_brnn=True, doc_dropout=0.2, doc_enc_size=256, dump_epoch_checkpoint=False, epochs=100, eval_per_batch=1000, extra_shuffle=True, force_max_len=True, freeze_word_vecs_enc=True, gpus=[0], halve_lr_bad_count=100000, input_feed=1, layers=1, learning_rate=0.001, learning_rate_decay=0.5, log_home='/idiap/temp/jbello/training/neusum/neusum_in_domain/sent8_100k_50d_200s/', log_interval=100, max_decode_step=8, max_doc_len=200, max_generator_batches=32, max_grad_norm=5, max_sent_length=100, max_weight_value=15, maxout_pool_size=2, norm_lambda=20, online_process_data=True, optim='adam', param_init=0.1, pre_word_vecs_dec=None, pre_word_vecs_enc='/idiap/temp/jbello/data/training/neusum/neusum_in_domain/sent4_100k_50d_200s/glove.100k.50d.txt', process_shuffle=False, save_path='/idiap/temp/jbello/training/neusum/neusum_in_domain/sent8_100k_50d_200s/', seed=12345, self_att_size=512, sent_brnn=True, sent_dropout=0.3, sent_enc_size=256, src_vocab='/idiap/temp/jbello/data/training/neusum/neusum_in_domain/sent4_100k_50d_200s/vocab.txt.100k', start_decay_at=8, start_epoch=1, start_eval_batch=1000, tgt_vocab='/idiap/temp/jbello/data/training/neusum/neusum_in_domain/sent4_100k_50d_200s/vocab.txt.100k', train_oracle='/idiap/temp/jbello/data/training/neusum/train.rouge_bigram_F1.oracle.regGain', train_src='/idiap/temp/jbello/data/training/neusum/train.src.txt', train_src_rouge='/idiap/temp/jbello/data/training/neusum/train.rouge_bigram_F1.oracle.regGain', train_tgt='/idiap/temp/jbello/data/training/neusum/train.tgt.txt', use_self_att=False, word_vec_size=50)
2020-01-29 13:29:53,999 [INFO :__main__] My seed is 12345
2020-01-29 13:29:59,008 [INFO :__main__] My cuda seed is 12345
2020-01-29 13:29:59,013 [INFO :onlinePreprocess] Reading source vocabulary from '/idiap/temp/jbello/data/training/neusum/neusum_in_domain/sent4_100k_50d_200s/vocab.txt.100k'...
2020-01-29 13:29:59,208 [INFO :onlinePreprocess] Loaded 100000 source words
2020-01-29 13:29:59,208 [INFO :onlinePreprocess] Reading target vocabulary from '/idiap/temp/jbello/data/training/neusum/neusum_in_domain/sent4_100k_50d_200s/vocab.txt.100k'...
2020-01-29 13:29:59,389 [INFO :onlinePreprocess] Loaded 100000 target words
2020-01-29 13:29:59,389 [INFO :onlinePreprocess] Preparing training ...
2020-01-29 13:29:59,389 [INFO :onlinePreprocess] Processing /idiap/temp/jbello/data/training/neusum/train.src.txt & /idiap/temp/jbello/data/training/neusum/train.tgt.txt ...
2020-01-29 13:29:59,399 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (1)
2020-01-29 13:29:59,413 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (3)
2020-01-29 13:29:59,414 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (3)
2020-01-29 13:29:59,415 [INFO :onlinePreprocess] WARNING: ignoring an empty line (4)
2020-01-29 13:29:59,418 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (5)
2020-01-29 13:29:59,422 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (7)
2020-01-29 13:29:59,431 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (13)
2020-01-29 13:29:59,434 [INFO :onlinePreprocess] WARNING: ignoring an empty line (16)
2020-01-29 13:29:59,439 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (19)
2020-01-29 13:29:59,443 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (20)
2020-01-29 13:29:59,457 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (28)
2020-01-29 13:29:59,473 [INFO :onlinePreprocess] WARNING: ignoring an empty line (36)
2020-01-29 13:29:59,486 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (43)
2020-01-29 13:29:59,486 [INFO :onlinePreprocess] WARNING: ignoring an empty line (43)
2020-01-29 13:29:59,503 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (53)
2020-01-29 13:29:59,549 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (86)
2020-01-29 13:29:59,567 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (97)
2020-01-29 13:29:59,622 [INFO :onlinePreprocess] WARNING: ignoring an empty line (120)
2020-01-29 13:29:59,627 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (122)
2020-01-29 13:29:59,643 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (135)
2020-01-29 13:29:59,656 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (143)
2020-01-29 13:29:59,666 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (149)
2020-01-29 13:29:59,668 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (150)
2020-01-29 13:29:59,670 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (152)
2020-01-29 13:29:59,716 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (173)
2020-01-29 13:29:59,717 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (173)
2020-01-29 13:29:59,729 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (185)
2020-01-29 13:29:59,742 [INFO :onlinePreprocess] WARNING: ignoring an empty line (200)
2020-01-29 13:29:59,763 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (212)
2020-01-29 13:29:59,766 [INFO :onlinePreprocess] WARNING: ignoring an empty line (214)
2020-01-29 13:29:59,784 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (228)
2020-01-29 13:29:59,795 [INFO :onlinePreprocess] WARNING: ignoring an empty line (233)
2020-01-29 13:29:59,830 [INFO :onlinePreprocess] WARNING: ignoring an empty line (254)
2020-01-29 13:29:59,855 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (273)
2020-01-29 13:29:59,884 [INFO :onlinePreprocess] WARNING: ignoring an empty line (295)
2020-01-29 13:29:59,889 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (298)
2020-01-29 13:29:59,892 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (303)
2020-01-29 13:29:59,896 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (304)
2020-01-29 13:29:59,906 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (308)
2020-01-29 13:29:59,927 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (313)
2020-01-29 13:29:59,935 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (318)
2020-01-29 13:29:59,946 [INFO :onlinePreprocess] WARNING: ignoring an empty line (322)
2020-01-29 13:29:59,950 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (324)
2020-01-29 13:29:59,954 [INFO :onlinePreprocess] WARNING: ignoring an empty line (326)
2020-01-29 13:29:59,978 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (337)
2020-01-29 13:29:59,979 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (337)
2020-01-29 13:29:59,997 [INFO :onlinePreprocess] WARNING: ignoring an empty line (343)
2020-01-29 13:30:00,004 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (345)
2020-01-29 13:30:00,050 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (367)
2020-01-29 13:30:00,073 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (382)
2020-01-29 13:30:00,078 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (387)
2020-01-29 13:30:00,098 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (399)
2020-01-29 13:30:00,110 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (408)
2020-01-29 13:30:00,113 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (408)
2020-01-29 13:30:00,119 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (411)
2020-01-29 13:30:00,132 [INFO :onlinePreprocess] WARNING: ignoring an empty line (422)
2020-01-29 13:30:00,134 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (424)
2020-01-29 13:30:00,142 [INFO :onlinePreprocess] WARNING: ignoring an empty line (430)
2020-01-29 13:30:00,149 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (433)
2020-01-29 13:30:00,156 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (438)
2020-01-29 13:30:00,160 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (440)
2020-01-29 13:30:00,173 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (452)
2020-01-29 13:30:00,180 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (455)
2020-01-29 13:30:00,186 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (458)
2020-01-29 13:30:00,199 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (470)
2020-01-29 13:30:00,200 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (470)
2020-01-29 13:30:00,200 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (470)
2020-01-29 13:30:00,211 [INFO :onlinePreprocess] WARNING: ignoring an empty line (474)
2020-01-29 13:30:00,222 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (481)
2020-01-29 13:30:00,234 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (489)
2020-01-29 13:30:00,259 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (507)
2020-01-29 13:30:00,273 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (513)
2020-01-29 13:30:00,294 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (524)
2020-01-29 13:30:00,306 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (526)
2020-01-29 13:30:00,314 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (531)
2020-01-29 13:30:00,347 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (558)
2020-01-29 13:30:00,361 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (568)
2020-01-29 13:30:00,420 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (603)
2020-01-29 13:30:00,437 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (618)
2020-01-29 13:30:00,440 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (620)
2020-01-29 13:30:00,441 [INFO :onlinePreprocess] WARNING: ignoring an empty line (622)
2020-01-29 13:30:00,443 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (622)
2020-01-29 13:30:00,445 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (623)
2020-01-29 13:30:00,494 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (656)
2020-01-29 13:30:00,500 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (658)
2020-01-29 13:30:00,512 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (667)
2020-01-29 13:30:00,522 [INFO :onlinePreprocess] WARNING: ignoring an empty line (676)
2020-01-29 13:30:00,531 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (683)
2020-01-29 13:30:00,548 [INFO :onlinePreprocess] WARNING: ignoring an empty line (696)
2020-01-29 13:30:00,584 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (718)
2020-01-29 13:30:00,594 [INFO :onlinePreprocess] WARNING: ignoring an empty line (722)
2020-01-29 13:30:00,595 [INFO :onlinePreprocess] WARNING: ignoring an empty line (723)
2020-01-29 13:30:00,596 [INFO :onlinePreprocess] WARNING: ignoring an empty line (724)
2020-01-29 13:30:00,612 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (735)
2020-01-29 13:30:00,614 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (736)
2020-01-29 13:30:00,632 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (750)
2020-01-29 13:30:00,644 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (755)
2020-01-29 13:30:00,669 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (771)
2020-01-29 13:30:00,672 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (771)
2020-01-29 13:30:00,677 [INFO :onlinePreprocess] WARNING: ignoring an empty line (776)
2020-01-29 13:30:00,678 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (777)
2020-01-29 13:30:00,682 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (781)
2020-01-29 13:30:00,702 [INFO :onlinePreprocess] WARNING: ignoring an empty line (792)
2020-01-29 13:30:00,723 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (807)
2020-01-29 13:30:00,757 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (831)
2020-01-29 13:30:00,757 [INFO :onlinePreprocess] WARNING: ignoring an empty line (831)
2020-01-29 13:30:00,797 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (858)
2020-01-29 13:30:00,800 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (860)
2020-01-29 13:30:00,819 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (866)
2020-01-29 13:30:00,829 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (867)
2020-01-29 13:30:00,832 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (868)
2020-01-29 13:30:00,843 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (869)
2020-01-29 13:30:00,872 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (880)
2020-01-29 13:30:00,908 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (891)
2020-01-29 13:30:00,968 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (928)
2020-01-29 13:30:00,973 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (931)
2020-01-29 13:30:00,986 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (938)
2020-01-29 13:30:00,989 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (942)
2020-01-29 13:30:00,996 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (949)
2020-01-29 13:30:01,003 [INFO :onlinePreprocess] WARNING: ignoring an empty line (953)
2020-01-29 13:30:01,018 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (963)
2020-01-29 13:30:01,019 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (964)
2020-01-29 13:30:01,032 [INFO :onlinePreprocess] WARNING: ignoring an empty line (972)
2020-01-29 13:30:01,034 [INFO :onlinePreprocess] WARNING: ignoring an empty line (974)
2020-01-29 13:30:01,038 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (977)
2020-01-29 13:30:01,043 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (981)
2020-01-29 13:30:01,044 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (982)
2020-01-29 13:30:01,052 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (988)
2020-01-29 13:30:01,062 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (996)
2020-01-29 13:30:01,075 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (1005)
2020-01-29 13:30:01,108 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (1034)
2020-01-29 13:30:01,112 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (1037)
2020-01-29 13:30:01,115 [INFO :onlinePreprocess] WARNING: ignoring an empty line (1041)
2020-01-29 13:30:01,117 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (1044)
2020-01-29 13:30:01,118 [INFO :onlinePreprocess] WARNING: ignoring an empty line (1045)
2020-01-29 13:30:01,135 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (1056)
2020-01-29 13:30:01,140 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (1061)
2020-01-29 13:30:01,141 [INFO :onlinePreprocess] WARNING: ignoring an empty line (1061)
2020-01-29 13:30:01,161 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (1078)
2020-01-29 13:30:01,177 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (1090)
2020-01-29 13:30:01,196 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (1107)
2020-01-29 13:30:01,197 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (1107)
2020-01-29 13:30:01,201 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (1110)
2020-01-29 13:30:01,211 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (1121)
2020-01-29 13:30:01,230 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (1137)
2020-01-29 13:30:01,232 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (1138)
2020-01-29 13:30:01,251 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (1154)
2020-01-29 13:30:01,252 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (1155)
2020-01-29 13:30:01,292 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (1199)
2020-01-29 13:30:01,293 [INFO :onlinePreprocess] WARNING: ignoring an empty line (1201)
2020-01-29 13:30:01,323 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (1221)
2020-01-29 13:30:01,337 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (1234)
