2020-01-22 07:37:03,027 [INFO :onlinePreprocess] WARNING: ignoring an empty line (254)
2020-01-22 07:37:03,052 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (273)
2020-01-22 07:37:03,081 [INFO :onlinePreprocess] WARNING: ignoring an empty line (295)
2020-01-22 07:37:03,086 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (298)
2020-01-22 07:37:03,089 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (303)
2020-01-22 07:37:03,092 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (304)
2020-01-22 07:37:03,098 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (308)
2020-01-22 07:37:03,127 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (313)
2020-01-22 07:37:03,142 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (318)
2020-01-22 07:37:03,161 [INFO :onlinePreprocess] WARNING: ignoring an empty line (322)
2020-01-22 07:37:03,168 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (324)
2020-01-22 07:37:03,174 [INFO :onlinePreprocess] WARNING: ignoring an empty line (326)
2020-01-22 07:37:03,197 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (337)
2020-01-22 07:37:03,198 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (337)
2020-01-22 07:37:03,211 [INFO :onlinePreprocess] WARNING: ignoring an empty line (343)
2020-01-22 07:37:03,216 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (345)
2020-01-22 07:37:03,251 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (367)
2020-01-22 07:37:03,270 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (382)
2020-01-22 07:37:03,275 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (387)
2020-01-22 07:37:03,293 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (399)
2020-01-22 07:37:03,305 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (408)
2020-01-22 07:37:03,307 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (408)
2020-01-22 07:37:03,313 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (411)
2020-01-22 07:37:03,326 [INFO :onlinePreprocess] WARNING: ignoring an empty line (422)
2020-01-22 07:37:03,329 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (424)
2020-01-22 07:37:03,337 [INFO :onlinePreprocess] WARNING: ignoring an empty line (430)
2020-01-22 07:37:03,343 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (433)
2020-01-22 07:37:03,350 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (438)
2020-01-22 07:37:03,355 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (440)
2020-01-22 07:37:03,368 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (452)
2020-01-22 07:37:03,375 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (455)
2020-01-22 07:37:03,381 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (458)
2020-01-22 07:37:03,394 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (470)
2020-01-22 07:37:03,394 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (470)
2020-01-22 07:37:03,395 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (470)
2020-01-22 07:37:03,405 [INFO :onlinePreprocess] WARNING: ignoring an empty line (474)
2020-01-22 07:37:03,417 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (481)
2020-01-22 07:37:03,428 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (489)
2020-01-22 07:37:03,453 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (507)
2020-01-22 07:37:03,467 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (513)
2020-01-22 07:37:03,487 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (524)
2020-01-22 07:37:03,499 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (526)
2020-01-22 07:37:03,507 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (531)
2020-01-22 07:37:03,540 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (558)
2020-01-22 07:37:03,553 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (568)
2020-01-22 07:37:03,611 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (603)
2020-01-22 07:37:03,629 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (618)
2020-01-22 07:37:03,632 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (620)
2020-01-22 07:37:03,633 [INFO :onlinePreprocess] WARNING: ignoring an empty line (622)
2020-01-22 07:37:03,636 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (622)
2020-01-22 07:37:03,637 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (623)
2020-01-22 07:37:03,712 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (656)
2020-01-22 07:37:03,721 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (658)
2020-01-22 07:37:03,742 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (667)
2020-01-22 07:37:03,756 [INFO :onlinePreprocess] WARNING: ignoring an empty line (676)
2020-01-22 07:37:03,770 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (683)
2020-01-22 07:37:03,793 [INFO :onlinePreprocess] WARNING: ignoring an empty line (696)
2020-01-22 07:37:03,834 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (718)
2020-01-22 07:37:03,844 [INFO :onlinePreprocess] WARNING: ignoring an empty line (722)
2020-01-22 07:37:03,845 [INFO :onlinePreprocess] WARNING: ignoring an empty line (723)
2020-01-22 07:37:03,846 [INFO :onlinePreprocess] WARNING: ignoring an empty line (724)
2020-01-22 07:37:03,862 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (735)
2020-01-22 07:37:03,864 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (736)
2020-01-22 07:37:03,883 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (750)
2020-01-22 07:37:03,896 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (755)
2020-01-22 07:37:03,921 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (771)
2020-01-22 07:37:03,924 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (771)
2020-01-22 07:37:03,930 [INFO :onlinePreprocess] WARNING: ignoring an empty line (776)
2020-01-22 07:37:03,931 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (777)
2020-01-22 07:37:03,935 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (781)
2020-01-22 07:37:03,955 [INFO :onlinePreprocess] WARNING: ignoring an empty line (792)
2020-01-22 07:37:03,976 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (807)
2020-01-22 07:37:04,011 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (831)
2020-01-22 07:37:04,011 [INFO :onlinePreprocess] WARNING: ignoring an empty line (831)
2020-01-22 07:37:04,058 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (858)
2020-01-22 07:37:04,061 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (860)
2020-01-22 07:37:04,071 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (866)
2020-01-22 07:37:04,075 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (867)
2020-01-22 07:37:04,077 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (868)
2020-01-22 07:37:04,083 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (869)
2020-01-22 07:37:04,099 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (880)
2020-01-22 07:37:04,123 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (891)
2020-01-22 07:37:04,173 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (928)
2020-01-22 07:37:04,178 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (931)
2020-01-22 07:37:04,190 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (938)
2020-01-22 07:37:04,194 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (942)
2020-01-22 07:37:04,201 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (949)
2020-01-22 07:37:04,208 [INFO :onlinePreprocess] WARNING: ignoring an empty line (953)
2020-01-22 07:37:04,225 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (963)
2020-01-22 07:37:04,226 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (964)
2020-01-22 07:37:04,242 [INFO :onlinePreprocess] WARNING: ignoring an empty line (972)
2020-01-22 07:37:04,244 [INFO :onlinePreprocess] WARNING: ignoring an empty line (974)
2020-01-22 07:37:04,249 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (977)
2020-01-22 07:37:04,254 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (981)
2020-01-22 07:37:04,255 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (982)
2020-01-22 07:37:04,265 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (988)
2020-01-22 07:37:04,277 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (996)
2020-01-22 07:37:04,292 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (1005)
2020-01-22 07:37:04,331 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (1034)
2020-01-22 07:37:04,336 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (1037)
2020-01-22 07:37:04,340 [INFO :onlinePreprocess] WARNING: ignoring an empty line (1041)
2020-01-22 07:37:04,343 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (1044)
2020-01-22 07:37:04,344 [INFO :onlinePreprocess] WARNING: ignoring an empty line (1045)
2020-01-22 07:37:04,364 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (1056)
2020-01-22 07:37:04,371 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (1061)
2020-01-22 07:37:04,371 [INFO :onlinePreprocess] WARNING: ignoring an empty line (1061)
2020-01-22 07:37:04,396 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (1078)
2020-01-22 07:37:04,415 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (1090)
2020-01-22 07:37:04,437 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (1107)
2020-01-22 07:37:04,438 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (1107)
